amount,consumer_id,http_code,left_in_stock,merchant_id,offer_id,price,product_id,quality,timestamp,uid
1,EWmdKQSLY6dnfQQpt7TMVKa7Dn604e/4H7P5DP2XeDw=,200,0,NXAqD2DJX6SSXOJ6UuiqNB69rshfSPYj4Rm0DhA8Ook=,57,31.98,3,3,2017-06-28T09:56:18.910Z,33
1,EWmdKQSLY6dnfQQpt7TMVKa7Dn604e/4H7P5DP2XeDw=,200,0,NXAqD2DJX6SSXOJ6UuiqNB69rshfSPYj4Rm0DhA8Ook=,64,47.68,1,1,2017-06-28T09:56:29.415Z,11
1,EWmdKQSLY6dnfQQpt7TMVKa7Dn604e/4H7P5DP2XeDw=,200,0,NXAqD2DJX6SSXOJ6UuiqNB69rshfSPYj4Rm0DhA8Ook=,54,6.1,1,4,2017-06-28T09:56:34.265Z,14
1,EWmdKQSLY6dnfQQpt7TMVKa7Dn604e/4H7P5DP2XeDw=,200,3,NXAqD2DJX6SSXOJ6UuiqNB69rshfSPYj4Rm0DhA8Ook=,59,14.86,3,1,2017-06-28T09:56:35.307Z,31
1,EWmdKQSLY6dnfQQpt7TMVKa7Dn604e/4H7P5DP2XeDw=,409,0,NXAqD2DJX6SSXOJ6UuiqNB69rshfSPYj4Rm0DhA8Ook=,65,13.75,2,4,2017-06-28T09:56:36.256Z,24
1,EWmdKQSLY6dnfQQpt7TMVKa7Dn604e/4H7P5DP2XeDw=,200,0,NXAqD2DJX6SSXOJ6UuiqNB69rshfSPYj4Rm0DhA8Ook=,69,9.1,1,3,2017-06-28T09:56:36.531Z,13
1,EWmdKQSLY6dnfQQpt7TMVKa7Dn604e/4H7P5DP2XeDw=,200,2,NXAqD2DJX6SSXOJ6UuiqNB69rshfSPYj4Rm0DhA8Ook=,63,25.03,3,2,2017-06-28T09:56:39.284Z,32
1,EWmdKQSLY6dnfQQpt7TMVKa7Dn604e/4H7P5DP2XeDw=,200,2,NXAqD2DJX6SSXOJ6UuiqNB69rshfSPYj4Rm0DhA8Ook=,65,10.91,2,4,2017-06-28T09:56:45.991Z,24
1,EWmdKQSLY6dnfQQpt7TMVKa7Dn604e/4H7P5DP2XeDw=,200,1,NXAqD2DJX6SSXOJ6UuiqNB69rshfSPYj4Rm0DhA8Ook=,63,16.47,3,2,2017-06-28T09:56:47.814Z,32
1,EWmdKQSLY6dnfQQpt7TMVKa7Dn604e/4H7P5DP2XeDw=,200,1,NXAqD2DJX6SSXOJ6UuiqNB69rshfSPYj4Rm0DhA8Ook=,65,77.83,2,4,2017-06-28T09:56:57.115Z,24
1,EWmdKQSLY6dnfQQpt7TMVKa7Dn604e/4H7P5DP2XeDw=,200,0,NXAqD2DJX6SSXOJ6UuiqNB69rshfSPYj4Rm0DhA8Ook=,69,9.1,1,3,2017-06-28T09:57:03.609Z,13
